id;titulo;genero;ano;duracao(min)
58;Sherlock Holmes and the Voice of Terror;Crime|Mystery|War;1948;198
59;Girl from Monday, The;Action|Comedy|Sci-Fi;2001;199
60;Boy and His Dog, A;Sci-Fi;1920;101
61;Lizzie McGuire Movie, The;Children|Comedy|Romance;1983;143
62;Crazy Horse;Documentary;1972;173
63;Blind Justice (Hævnens nat);Drama|Mystery|Thriller;1927;67
64;Mysterious Island;Adventure|Sci-Fi;1962;119
65;Terrorist, The (a.k.a. Malli) (Theeviravaathi);Drama;2012;91
66;Parade, The (Parada);Comedy|Drama;2003;194
67;In Which We Serve;Drama|War;1951;179
68;Glamorous Life of Sachiko Hanai, The (Hatsujô kateikyôshi: sensei no aijiru);Action|Comedy|Drama|Fantasy|Mystery|Sci-Fi|War;1904;153
69;5 Centimeters per Second (Byôsoku 5 senchimêtoru);Animation|Drama|Romance;1944;181
70;Human Centipede, The (First Sequence);Horror;1959;162
71;Food (Jídlo);Animation|Comedy|Fantasy;1977;186
72;American Sniper;Action|War;1989;101
73;Pauline & Paulette (Pauline en Paulette);Comedy|Drama;1920;69
74;Aerial Gunner;Drama|War;1909;68
75;Star Is Born, A;Drama|Musical|Romance;2002;78
76;Valmont;Drama|Romance;1911;162
77;Série noire;Film-Noir;1927;199
78;Merry Gentleman, The;Drama;1919;177
79;Meet the Applegates;Comedy;2009;160
80;Galaxy Quest;Adventure|Comedy|Sci-Fi;1976;208
81;Broken Windows;Drama;1995;58
82;Random Harvest;Drama|Romance;1975;131
83;Sleeping Car Murder, The (Compartiment tueurs);Drama|Mystery|Thriller;1932;89
84;To Each His Own Cinema (Chacun son cinéma ou Ce petit coup au coeur quand la lumière s'éteint et que le film commence);Comedy|Drama;1928;152
85;L.627;Crime|Drama|Thriller;1980;100
86;Pups;Crime|Drama|Thriller;1947;47
87;Small Circle of Friends, A;Drama;2013;93
88;Puss in Boots;Adventure|Animation|Comedy|Fantasy|IMAX;2000;72
89;H-Man, The (Bijo to Ekitainingen);Horror|Mystery|Sci-Fi|Thriller;2017;61
90;True Stories;Comedy|Musical;1967;165
91;Desperate Search;Adventure|Drama;1960;61
92;The Gold Spinners;Documentary;1932;119
93;Sniper 2;Action|Adventure|War;1931;107
94;Almost Man, The (Mer eller mindre mann);Comedy|Drama;1913;82
95;We and the I, The;Drama;1992;54
96;Buffalo Bill and the Indians, or Sitting Bull's History Lesson (a.k.a. Buffalo Bill and the Indians);Comedy|Western;1980;95
97;Dirty Sanchez: The Movie;Comedy;1924;179
98;Scarface;Crime|Drama;1998;148
99;Courageous;Drama;1940;47
100;Black Water;Adventure|Drama|Horror|Thriller;1902;150
101;Sorority Boys;Comedy;1906;197
102;Kickboxer 2: The Road Back;Action|Drama;1964;148
103;Daisy;Drama|Romance;2007;127
104;Slipping-Down Life, A;Drama|Romance;1946;114
105;C.H.U.D.;Horror;1929;199
106;Secret of Moonacre, The;Adventure|Fantasy|Romance;2015;116
107;After Tiller;Documentary;1938;194
108;Adult Camp;Comedy;1952;89
109;Three Smart Girls;Comedy|Musical|Romance;2000;85
110;Vince Vaughn's Wild West Comedy Show: 30 Days & 30 Nights - Hollywood to the Heartland;Comedy|Documentary;1976;140
111;Honeymoons;Comedy;1991;108
112;Friday the 13th Part IV: The Final Chapter;Horror;1980;97
113;Delirious;Comedy;1984;95
114;Total Eclipse;Drama|Romance;1955;191
115;Dinotopia;Adventure|Fantasy;1998;170
116;Sunfish, The (Klumpfisken);Drama;1939;205
117;Master of the House (Du skal ære din hustru) (Thou Shalt Honour Thy Wife);Drama;1945;196
118;Cold Trail (Köld slóð);Drama|Mystery|Thriller;1925;68
119;Boeing, Boeing;Comedy;1981;155
120;Scream 2;Comedy|Horror|Mystery|Thriller;1979;198
121;Mr Reliable;(no genres listed);1949;210
122;Another 48 Hrs.;Action|Comedy|Crime|Drama|Thriller;1974;160
123;The Guardians;Action|Thriller;1928;90
124;Following Sean;Documentary;2013;146
125;Westward Ho;Drama|Western;1908;88
126;Dunwich Horror, The;Horror;1917;198
127;Kung Fu Panda 2;Action|Adventure|Animation|Children|Comedy|IMAX;1905;185
128;Green Lantern: First Flight;Action|Adventure|Animation|Fantasy|Sci-Fi;1965;124
129;Of Horses and Men;Comedy|Drama|Romance;1905;100
130;Devil's Diary;Drama|Horror|Mystery;1934;97
131;Bombardier;Drama|War;1939;67
132;8MM 2;Drama|Mystery|Thriller;1910;116
133;Janie Jones;Drama|Musical;1985;130
134;Tabu;Drama|Romance;1912;133
135;Admiral;Drama|War;1939;196
136;McConkey;Adventure|Documentary;1918;103
137;Guard Post, The (G.P. 506);Horror;1949;59
138;Cold Sweat (De la part des copains);Action|Drama|Thriller;1958;103
139;Four Brothers;Action|Crime|Drama;1951;205
140;Detective, The;Crime|Drama;1925;207
141;Support Your Local Sheriff!;Comedy|Western;1971;132
142;Clear History;Comedy;1957;106
143;Faster;Action|Crime|Drama;1917;136
144;Pinky;Drama;1978;153
145;Where the Wild Things Are;Adventure|Children|Drama|Fantasy|IMAX;1910;161
146;Mortel transfert;Comedy|Crime|Thriller;2008;160
147;Ginger Snaps Back: The Beginning;Fantasy|Horror;1991;151
148;Patriot Games;Action|Thriller;1901;141
149;Dance Flick;Comedy|Musical;2011;115
150;Ascent of Money, The;Documentary;1929;60
151;Nazis: A Warning from History, The;Documentary|War;1959;76
152;Last Broadcast, The;Horror|Mystery|Thriller;1984;55
153;Cool, Dry Place, A;Drama;1902;47
154;Starcrash (a.k.a. Star Crash);Action|Adventure|Fantasy|Sci-Fi;1972;57
155;Shamrock Handicap, The;Drama|Romance;2004;199
156;Lamp in the Dark, The Untold History of the Bible, A;Documentary;1917;118
157;Lay the Favorite;Comedy;1918;116
158;Sister Kenny;Drama;1907;85
159;Dry Season (Daratt);Drama;2016;131
160;Coup de torchon (Clean Slate);Crime;2013;183
161;Zombie High;Comedy|Horror;1940;173
162;Passion of Ayn Rand, The;Documentary|Drama|Romance;1908;121
163;Kissing Jessica Stein;Comedy|Romance;1945;177
164;Bishop Murder Case, The;Mystery;1905;164
165;Melancholia;Drama|Sci-Fi;1994;191
166;Silver Chalice, The;Drama|Romance;1967;190
167;Secrets of Jonathan Sperry, The;Drama;1970;92
168;Crazed Fruit (Kurutta kajitsu);Drama;1947;209
169;Shadow of the Holy Book (Pyhän kirjan varjo);Documentary;1973;102
170;Man of Her Dreams (a.k.a. The Fiancé);Drama;1987;185
171;Mr. Vampire (Geung si sin sang);Comedy|Fantasy|Horror;1996;103
172;Woman of the Year;Comedy|Romance;1946;118
173;Harmonists, The;Drama;1993;157
174;Simple Wish, A;Children|Fantasy;1942;76
175;Populaire;Comedy;1979;168
176;Cameraman's Revenge, The (Mest kinematograficheskogo operatora);Animation|Comedy;1936;76
177;Living Sea, The;Documentary|IMAX;1916;94
178;Cartoon All-Stars to the Rescue;Animation|Children|Comedy|Drama|Fantasy;1980;207
179;Hot Tub Time Machine 2;Comedy|Sci-Fi;1909;143
180;Sticky Fingers of Time, The;Sci-Fi;1921;200
181;Little Nikita;Drama;1926;188
182;Narrien illat ;Comedy|Drama|Musical;1995;172
183;A Kind of America 2;Comedy;1993;172
184;Retrogade;Action|Adventure|Sci-Fi;1999;105
185;Samurai (Samourais);Action;1996;135
186;Grand Dukes, The (Les grands ducs);Comedy;2017;66
187;Gold;Action|Adventure|Drama|Thriller;1919;89
188;Last Temptation of Christ, The;Drama;1987;130
189;Jesus;Drama;1958;189
190;Tusk;Comedy|Drama|Horror;1980;80
191;Maximum Risk;Action|Adventure|Thriller;1957;67
192;Bad Ronald;Drama|Horror|Thriller;1916;73
193;Fat, Sick & Nearly Dead;Documentary;1952;113
194;Brotherhood;Crime|Drama|Thriller;1966;182
195;Fred & Vinnie;Comedy|Drama;1920;194
196;Zipper;Drama|Thriller;2000;158
197;Looker;Drama|Horror|Sci-Fi|Thriller;1985;147
198;Angels & Demons;Crime|Drama|Mystery|Thriller;1979;110
199;Young Master, The (Shi di chu ma);Action|Comedy;1981;166
200;Sasori;Action;1985;155
201;Hamlet;Drama;1959;80
202;From the Earth to the Moon;Adventure|Fantasy|Sci-Fi;1966;205
203;Three Brothers (Tre fratelli);Drama;1992;45
204;King Ralph;Comedy;1992;149
205;Other Side of the Bed, The (Otro lado de la cama, El);Comedy|Drama|Musical|Romance;1961;89
206;Way Ahead, The (a.k.a. The Immortal Battalion);Drama|War;1996;145
207;Memoirs of a Geisha;Drama|Romance;1996;162
208;Red Chapel, The (Røde kapel, Det);Comedy|Documentary;1994;109
209;Rampage at Apache Wells;Adventure|Western;1969;145
210;Gatekeepers, The;Documentary;1974;166
211;The D Train;Comedy;1951;195
212;Friday the 13th Part V: A New Beginning;Horror;1951;72
213;Camille Claudel;Drama;1920;191
214;Anarchist Cookbook, The;Comedy|Romance;1975;49
215;Mr. & Mrs. Smith;Comedy|Romance;2000;196
216;Magic & Bird: A Courtship of Rivals;Documentary;1945;193
217;Some Mother's Son;Drama;1945;135
218;What Doesn't Kill You;Crime|Drama;1907;198
219;Gate of Flesh (Nikutai no mon);Drama;1996;207
220;They Live by Night;Crime|Film-Noir|Romance;1976;97
221;Home of the Brave;Documentary;1969;177
222;Best Little Whorehouse in Texas, The;Comedy|Drama|Musical|Romance;1955;162
223;Tiresia;Drama;1943;126
224;Follow the Fleet;Comedy|Musical|Romance;1971;206
225;Mark of Cain, The;Drama;1952;51
226;Abbott and Costello Meet Dr. Jekyll and Mr. Hyde;Comedy|Horror|Sci-Fi;1910;191
227;Outer Space;Animation|Horror;1975;79
228;Setup (Set Up);Action|Crime|Drama;1950;94
229;Bad Country;Action|Crime|Drama|Thriller;1968;50
230;Boris Godunov;Drama;1938;87
231;Sacrifice, The (Offret - Sacraficatio);Drama;1982;145
232;Labor Pains;Comedy|Romance;1916;196
233;Love Torn in Dream (Combat d'amour en songe);Drama|Fantasy;2007;145
234;Adventures of Huckleberry Finn, The;Adventure|Children;1954;188
235;Friday the 13th Part VI: Jason Lives;Horror;1945;66
236;Tattoo;Drama|Thriller;1983;54
237;Black Dynamite;Action|Comedy;1938;64
238;Blue Denim;Drama;1966;107
239;Möbius;Drama|Thriller;1939;126
240;Steel Magnolias;Drama;1937;160
241;Pink Panther, The;Comedy|Crime;1962;92
242;Law Abiding Citizen;Drama|Thriller;1943;71
243;Contact High;Comedy;1976;84
244;Scatter My Ashes at Bergdorf's;Documentary;1982;177
245;Kurt Cobain About a Son;Documentary|Musical;2002;162
246;Planes;Adventure|Animation|Comedy;1951;109
247;How I Ended This Summer (Kak ya provyol etim letom);Drama;1978;127
248;Dangerous Moves (La diagonale du fou);Drama|Thriller;1994;63
249;I Are You, You Am Me (Tenkosei);Comedy;1996;131
250;Vares: The Path of the Righteous Men (Vares - Kaidan tien kulkijat);Crime|Drama;1905;81
251;Evening Star, The;Comedy|Drama;1929;119
252;Story of Adele H., The (Histoire d'Adèle H., L');Drama;1965;125
253;Delta Force, The;Action;1951;48
254;Ring Finger, The (L'annulaire);Drama;1909;70
255;Snow on the Pines, The;Drama|Romance;2009;198
256;Sniper: Reloaded ;Action|Drama|Thriller|War;1944;166
257;Babette's Feast (Babettes gæstebud);Drama;1978;131
258;Niagara;Drama|Thriller;1916;73
259;Venus Wars (Venus Senki);Action|Animation|Sci-Fi|War;1994;142
260;8 Heads in a Duffel Bag;Comedy;1973;141
261;Judge, The;Drama;1984;62
262;As Good as Dead;Thriller;1997;178
263;Songwriter;Drama;2008;172
264;Descent, The;Adventure|Drama|Horror|Thriller;1971;113
265;I Am the Law;Crime|Drama;1902;207
266;Charlie Chan on Broadway;Comedy|Crime|Mystery|Thriller;1974;187
267;Boys;Drama;1985;104
268;Star Wars Uncut: Director's Cut;Action|Animation|Comedy|Sci-Fi|Western;1922;95
269;Dylan Moran: Like, Totally;Comedy;1962;130
270;Theodore Rex;Comedy;1977;187
271;Kites;Action|Drama|Romance;1989;159
272;One Man Against the Organization;(no genres listed);1951;104
273;In the Land of Women;Comedy|Drama|Romance;1923;200
274;À l'aventure;Drama;1900;173
275;Purgatory;Fantasy|Western;2000;208
276;Bathing Beauty;Comedy|Musical;1983;57
277;Masterminds;Action|Comedy|Thriller;1945;93
278;Fatty and Mabel Adrift;Comedy;1991;192
279;Full Tilt Boogie;Documentary;1971;118
280;Ditchdigger's Daughters, The;Drama;1982;193
281;Coriolanus;Drama|Thriller;1928;162
282;Summer School;Horror;1976;80
283;Summer House;Drama;1909;120
284;Tideland;Drama|Fantasy|Thriller;1954;185
285;Doughboys;Comedy|War;1971;137
286;Entitled, The;Thriller;1951;84
287;Names of Love, The (Le nom des gens);Comedy;1976;124
288;Donovan's Brain;Sci-Fi;1989;187
289;Signos del zodiaco, Los;Drama;1911;84
290;5th Day of Peace (Dio è con noi);Drama|War;1992;77
291;71 Fragments of a Chronology of Chance (71 Fragmente einer Chronologie des Zufalls);Drama;1930;100
292;Back to the Future;Adventure|Comedy|Sci-Fi;1996;81
293;The Arrival of Wang;Mystery|Sci-Fi|Thriller;2018;201
294;More Dead Than Alive;Romance|Western;1968;46
295;Good Guys and the Bad Guys, The;Comedy|Western;1995;51
296;Don Is Dead, The;Action|Crime|Drama|Thriller;1963;132
297;Seduced and Abandoned (Sedotta e abbandonata);Comedy|Drama;1977;181
298;Viva Las Vegas;Comedy|Musical|Romance;1982;98
299;Contract, The;Crime|Drama|Thriller;1955;182
300;Away from Her;Drama;1986;139
301;Dating Games People Play;Comedy;1907;187
302;Howard Zinn: You Can't Be Neutral on a Moving Train;Documentary;1923;91
303;Mein Kampf;Comedy|Drama;1936;171
304;Nightmare on Elm Street 2: Freddy's Revenge, A;Horror;1928;126
305;Age of Ice;Adventure|Sci-Fi;1924;147
306;Captivated;Documentary;1992;100
307;Carefree;Comedy|Musical|Romance;1957;184
308;The Gruffalo's Child;Adventure|Animation|Children|Fantasy;1961;120
309;Even Angels Eat Beans;Action|Comedy|Crime;1976;157
310;Badge, The;Crime|Drama|Mystery|Thriller;2003;205
311;B.F.'s Daughter;Drama|Romance;1961;48
312;Frequencies;Mystery|Romance|Sci-Fi;2010;133
313;Mark of Zorro, The;Adventure|Romance|Western;1998;121
314;Countess from Hong Kong, A;Comedy;1962;156
315;Dancing Masters, The;Comedy|Romance;1975;104
316;Border Run (Mule, The);Crime|Thriller;1965;98
317;Mars Needs Moms;Action|Adventure|Animation|Children|Comedy|Sci-Fi|IMAX;2005;184
318;Lady Eve, The;Comedy|Romance;1922;198
319;Giants and Toys (Kyojin to gangu);Comedy|Drama;1949;174
320;Baggage Claim;Comedy;1993;99
321;Game of Chance (Onnenpeli);Comedy|Drama;2002;59
322;Cost of Oil: Voices from the Arctic, The;Documentary;1981;172
323;Chains (Catene);Crime|Drama;1938;93
324;Vietnam in HD;War;2000;59
325;Power of Nightmares, The: The Rise of the Politics of Fear;Documentary;1919;208
326;Balance, La;Action|Crime|Drama;2016;105
327;Dr. T and the Women;Comedy|Romance;2013;123
328;Hunt for Red October, The;Action|Adventure|Thriller;1919;194
329;Mount St. Elias;Documentary;1931;89
330;Good;Drama|War;1964;204
331;Die Frau des Frisörs;Drama;2012;188
332;German Doctor, The (Wakolda);Drama|Thriller;1979;140
333;How to Train Your Dragon 2;Action|Adventure|Animation;2012;67
334;Raising Helen;Comedy|Drama|Romance;1930;72
335;Punisher, The;Action;2012;69
336;Flamenco (de Carlos Saura);Musical;1945;200
337;Pick-up Artist, The;Comedy|Romance;1994;124
338;Poppy Shakespeare;Drama;1961;177
339;Lake, A (Un lac);Drama;1941;104
340;American Nightmare, The;Documentary;1998;49
341;Driller Killer, The;Drama|Horror;2006;79
342;How to Die in Oregon;Documentary|Drama;1906;127
343;In the Land of Blood and Honey;Drama|Romance|War;1907;170
344;Fara;Drama;1975;60
345;Alive;Drama;2005;204
346;Hippocrates;Comedy|Drama;2009;66
347;Memento Mori (Yeogo goedam II);Horror;2017;51
348;Make It Happen;Drama;2006;157
349;Cyberbully;Drama;1995;182
350;How 2 Build a Rapper;Comedy;1927;77
351;Five Card Stud (a.k.a. 5 Card Stud);Mystery|Western;1935;151
352;Decoys 2: Alien Seduction ;Horror|Sci-Fi|Thriller;1976;51
353;Mad Dog Coll;Crime|Drama;1978;130
354;Raw Deal: A Question of Consent;Documentary;1958;178
355;Tere Naam;Romance;1963;117
356;Peaceful Warrior;Drama;1925;90
357;Spite Marriage;Comedy;1928;184
358;Five Minutes to Live;Crime|Drama|Thriller;1931;86
359;Kissed;Drama|Romance;1990;100
360;Nazareno Cruz and the Wolf;(no genres listed);1969;111
361;The Raid;Action|Drama|War;1972;130
362;Revolver;Crime|Drama|Thriller;2003;208
363;Comedy of Power (Ivresse du pouvoir, L');Drama;1994;158
364;District 13: Ultimatum (Banlieue 13 - Ultimatum);Action|Sci-Fi;1986;198
365;Next Stop Wonderland;Comedy|Drama|Romance;1987;57
366;One Hundred Mornings;Drama;1922;47
367;Half Moon Street;Drama|Thriller;1935;182
368;What! No Beer?;Comedy;1917;145
369;Kamome Diner;(no genres listed);1924;165
370;Truth in 24;Documentary;1947;195
371;Transporter, The;Action|Crime;2010;157
372;Leprechaun: Origins;Horror;1941;118
373;Sword and the Sorcerer, The;Action|Adventure|Fantasy;1951;105
374;At Berkeley;Documentary;1954;77
375;Bukowski: Born into This;Documentary;1965;199
376;Gangster Squad;Action|Crime|Drama;1946;143
377;Any Questions for Ben?;Comedy|Drama;1928;100
378;Storage 24;Horror|Sci-Fi;1927;55
379;Bathory;Drama|Fantasy;1997;55
380;Goya: Crazy Like a Genius;Documentary;1982;95
381;Buffalo Soldiers;Comedy|Crime|Drama|War;1979;109
382;Life and Debt;Documentary;1903;129
383;Marooned in Iraq (Gomgashtei dar Aragh);Drama;1958;63
384;Dreaming of Joseph Lees;Drama|Romance;1965;148
385;Gospel of John, The;Drama;1983;204
386;Grass: A Nation's Battle for Life;Documentary;1912;63
387;Loverboy;Comedy;1960;60
388;The Man From The Alamo;Western;1966;139
389;Lady in Cement;Crime|Drama|Mystery|Thriller;1911;90
390;Killer Crocodile;Horror;2009;154
391;Prince of Egypt, The;Animation|Musical;1902;117
392;Diary of a Wimpy Kid;Children|Comedy;1974;87
393;Jewel of the Nile, The;Action|Adventure|Comedy|Romance;1995;173
394;Combat Girls (Kriegerin);Drama;1947;171
395;Blue Gardenia, The;Crime|Drama|Film-Noir|Thriller;1942;82
396;Sex and the Single Girl;Comedy|Romance;2003;76
397;Zombie Holocaust (a.k.a. Doctor Butcher M.D.) (Zombi Holocaust);Horror;1959;86
398;Moderns, The;Drama;1905;87
399;Bowfinger;Comedy;1949;153
400;Me and Him (Ich und Er);Comedy;1975;116
401;Tenure;Comedy;1973;165
402;Blue Max, The;Adventure|Drama|War;1905;202
403;Ungentlemanly Act, An;Action|Documentary|Drama|War;2007;65
404;Blank Generation, The;Musical;1950;174
405;Dead Ahead: The Exxon Valdez Disaster;Drama;1950;108
406;Man on a Ledge;Crime|Thriller;1945;111
407;Lesbian Vampire Killers;Action|Comedy|Horror;1964;145
408;Perez Family, The;Comedy|Romance;1993;89
409;One Piece Film: Strong World;Action|Adventure|Animation|Comedy|Fantasy;1964;181
410;Antique (Sayangkoldong yangkwajajeom aentikeu);Comedy|Drama;1929;68
411;Drive Me Crazy;Comedy|Romance;1979;72
412;Not Reconciled (Nicht versöhnt oder Es hilft nur Gewalt wo Gewalt herrscht);Drama;1965;116
413;Woman's Tale, A;Drama;1988;137
414;Big Country, The;Romance|Western;1930;54
415;Dinner at Eight;Comedy|Drama|Romance;1900;96
416;Quare Fellow, The (a.k.a. The Condemned Man);Drama;1913;91
417;Beerfest;Comedy;1943;185
418;Foxy Brown;Action|Crime|Drama;1947;153
419;Charlie: The Life and Art of Charles Chaplin;Documentary;1966;153
420;Paradise Alley;Drama;1939;169
421;Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark);Action|Adventure;1934;166
422;Summer at Grandpa's, A (Dong dong de jia qi);Drama;1958;179
423;Burnt Offerings;Horror;1996;89
424;Duel in the Sun;Western;1977;50
425;Game Plan, The;Comedy;1946;69
426;Before Sunset;Drama|Romance;2012;150
427;Harvest Month, The (Elokuu);Drama;1903;94
428;Berlin Alexanderplatz;Drama;1949;156
429;Can I Do It 'Till I Need Glasses?;Comedy;1970;45
430;Keeper, The;Action|Crime|Thriller;2003;60
431;Music for One Apartment and Six Drummers;Comedy;1904;187
432;Clone (Womb);Drama|Romance|Sci-Fi;1944;182
433;Invaders from Space;Action|Sci-Fi;1958;140
434;Conformist, The (Conformista, Il);Drama;1974;59
435;Pokémon Heroes;Animation|Children;1919;156
436;Geography Club;Comedy|Drama|Romance;1927;69
437;Nosferatu the Vampyre (Nosferatu: Phantom der Nacht);Horror;1952;136
438;Santa Buddies;Adventure|Children;1963;78
439;Reluctant Dragon, The;Animation|Comedy;1997;153
440;Apartment, The (Appartement, L');Drama|Mystery|Romance;1996;57
441;Sheena;Action|Adventure|Fantasy;1981;165
442;Her;Drama|Romance|Sci-Fi;1969;192
443;Love in Bloom;Romance;1903;140
444;Bitter Moon;Drama|Film-Noir|Romance;1997;72
445;Dirty Movie;Comedy;1985;143
446;Wishful Drinking;Documentary;1929;183
447;Invisible Waves;Adventure|Crime|Drama;2012;45
448;Gimme Shelter;Documentary;1971;95
449;Shake It (En kort en lang);Comedy|Drama|Romance;2016;165
450;Challenge to Lassie;Children|Drama;2018;181
451;Born to Fight (Kerd ma lui);Action|Adventure|Crime|Thriller;1944;189
452;Covert Action;(no genres listed);1926;171
453;New York Minute;Action|Adventure|Comedy;1997;196
454;Three Steps Above Heaven (Tres metros sobre el cielo);Drama|Romance;1953;55
455;Barefoot Executive, The;Children|Comedy;1935;202
456;18 Again!;Comedy|Fantasy;1927;185
457;King of the Jungle;Drama|Thriller;1971;155
458;Relic, The;Horror|Thriller;1902;63
459;Joy Ride 2: Dead Ahead;Action|Horror|Thriller;2010;172
460;Look Who's Talking Now;Children|Comedy|Romance;1924;187
461;Artifact;Documentary;1964;58
462;Beyond the Gates of Splendor;Documentary;2001;100
463;All Watched Over by Machines of Loving Grace;Documentary;1923;157
464;Inkwell, The;Comedy|Drama;1957;89
465;Photographer (Fotoamator);Documentary;1922;96
466;Society;Horror|Mystery;1993;68
467;Possessed;Drama|Romance;1937;153
468;Edge of Madness;Drama;1941;173
469;Tetsuo II: Body Hammer;Horror|Sci-Fi;1920;115
470;Michael;Drama|Thriller;2000;147
471;Yes Man;Comedy;2009;45
472;Grandma's Boy;Action|Comedy|Romance;1920;55
473;War, The;Adventure|Drama|War;1909;173
474;Anonymous;Drama;1908;118
475;Cold Light of Day, The;Drama|Thriller;2007;194
476;Keys of the Kingdom, The;Drama;2015;125
477;Eddie Izzard: Force Majeure Live;Comedy;1973;205
478;Pillow Book, The;Drama|Romance;1972;103
479;4 Little Girls;Documentary;1906;99
480;Adanggaman;Drama;1963;108
481;Tingler, The;Horror;1944;97
482;Taxi 3;Action|Comedy;1943;78
483;Bleak House;Drama;1994;152
484;Made for Each Other;Comedy;2010;57
485;56 Up;Documentary;1937;113
486;Moscow Clad in Snow (Moscou sous la neige) ;Documentary;1916;186
487;Gung Ho;Comedy|Drama;1983;65
488;Just a Sigh;Drama|Romance;1969;197
489;Georgia Rule;Comedy|Drama|Romance;1921;166
490;Electric Shadows (Meng ying tong nian);Drama;1956;163
491;Scientist, The;Drama;2007;160
492;Nightmare in Las Cruces, A;Documentary;2015;95
493;Fight Club;Action|Crime|Drama|Thriller;1908;77
494;My Blue Heaven;Comedy;2003;207
495;Iran Is Not the Problem;Documentary;1977;181
496;Big City, The (Mahanagar);Drama;1973;79
497;Casual Sex?;Comedy;1964;148
498;Who Is Harry Kellerman and Why Is He Saying Those Terrible Things About Me?;Comedy|Drama;1949;79
499;Queen Sized;Comedy|Drama;1944;186
500;Gerontophilia;Comedy|Romance;1995;106
501;Zone Troopers;Action|Sci-Fi|War;2017;170
502;Foolish;Comedy;1973;174
503;Quarry, The;Drama;1999;63
504;Confessional, The (Confessionnal, Le);Drama|Mystery;1927;208
505;Last Mountain, The;Documentary;1943;188
506;Along Came Jones;Comedy|Romance|Western;1942;210
507;Amazon Jack 2: The Movie Star (a.k.a. Hugo the Movie Star) (Jungledyret 2 - den store filmhelt);Animation|Children|Musical|Romance;1999;202
508;Not Another Happy Ending;Comedy|Drama|Romance;2003;138
509;Mr. Mom;Comedy|Drama;1964;55
510;Last Cowboy Standing (Skavabölen pojat);Drama;1920;95
511;Terminal, The;Comedy|Drama|Romance;1961;134
